"","portfolio","date","investment.growth"
"130","The minimum variance",2020-08-03,268066.215770481
"131","The minimum variance",2020-08-04,267567.909723077
"132","The minimum variance",2020-08-05,265644.860171147
"133","The minimum variance",2020-08-06,269764.099894402
"134","The minimum variance",2020-08-07,269803.585798818
"135","The minimum variance",2020-08-10,269719.602686069
"136","The minimum variance",2020-08-11,263815.002021966
"137","The minimum variance",2020-08-12,270792.417322587
"138","The minimum variance",2020-08-13,271981.690856123
"139","The minimum variance",2020-08-14,273293.276523388
"140","The minimum variance",2020-08-17,276632.587128264
"141","The minimum variance",2020-08-18,278734.596729322
"142","The minimum variance",2020-08-19,273622.976490491
"143","The minimum variance",2020-08-20,277864.359761489
"144","The minimum variance",2020-08-21,285565.328177234
"145","The minimum variance",2020-08-24,286289.138965279
"146","The minimum variance",2020-08-25,284997.550143459
"147","The minimum variance",2020-08-26,287510.52248419
"148","The minimum variance",2020-08-27,286993.74917473
"149","The minimum variance",2020-08-28,286668.120716434
"150","The minimum variance",2020-08-31,295636.313653222
"151","The minimum variance",2020-09-01,299480.581225054
"152","The minimum variance",2020-09-02,297035.61471868
"153","The minimum variance",2020-09-03,281359.840125222
"154","The minimum variance",2020-09-04,281643.554262425
"155","The minimum variance",2020-09-08,265035.767759505
"156","The minimum variance",2020-09-09,272606.18755342
"157","The minimum variance",2020-09-10,267594.305025378
"158","The minimum variance",2020-09-11,269840.930329799
"159","The minimum variance",2020-09-14,277323.820298728
"160","The minimum variance",2020-09-15,279812.127030776
"161","The minimum variance",2020-09-16,276003.458512403
"162","The minimum variance",2020-09-17,272644.372562074
"163","The minimum variance",2020-09-18,269550.833623666
"164","The minimum variance",2020-09-21,271814.728966383
"165","The minimum variance",2020-09-22,272344.7955087
"166","The minimum variance",2020-09-23,264055.364278686
"167","The minimum variance",2020-09-24,264635.834740335
"168","The minimum variance",2020-09-25,270980.439781728
"169","The minimum variance",2020-09-28,275390.318710304
"170","The minimum variance",2020-09-29,273253.192778188
"171","The minimum variance",2020-09-30,277375.538639625
"172","The minimum variance",2020-10-01,281291.847177034
"173","The minimum variance",2020-10-02,274018.391023162
"174","The minimum variance",2020-10-05,281243.797056241
"175","The minimum variance",2020-10-06,273881.704005763
"176","The minimum variance",2020-10-07,277121.951440705
"177","The minimum variance",2020-10-08,277611.622721309
"178","The minimum variance",2020-10-09,280834.869235396
"179","The minimum variance",2020-10-12,289270.530006752
"180","The minimum variance",2020-10-13,285968.899845415
"181","The minimum variance",2020-10-14,286536.960606497
"182","The minimum variance",2020-10-15,283357.285438711
"183","The minimum variance",2020-10-16,278238.154188344
"184","The minimum variance",2020-10-19,272520.810971587
"185","The minimum variance",2020-10-20,273801.396283104
"186","The minimum variance",2020-10-21,272600.32709106
"187","The minimum variance",2020-10-22,271720.972848292
"188","The minimum variance",2020-10-23,270804.834544713
"189","The minimum variance",2020-10-26,268172.633093021
"190","The minimum variance",2020-10-27,270275.753980958
"191","The minimum variance",2020-10-28,260702.264732822
"192","The minimum variance",2020-10-29,265746.436074921
"193","The minimum variance",2020-10-30,256172.479500779
"194","The minimum variance",2020-11-02,257394.830001466
"195","The minimum variance",2020-11-03,261518.51254316
"196","The minimum variance",2020-11-04,270361.837450672
"197","The minimum variance",2020-11-05,276146.838476992
"198","The minimum variance",2020-11-06,279118.707049637
"199","The minimum variance",2020-11-09,271682.703273677
"200","The minimum variance",2020-11-10,272385.891846269
"201","The minimum variance",2020-11-11,278267.743086444
"202","The minimum variance",2020-11-12,277106.753033613
"203","The minimum variance",2020-11-13,277802.207918226
"204","The minimum variance",2020-11-16,279883.81599483
"205","The minimum variance",2020-11-17,279742.948039938
"206","The minimum variance",2020-11-18,279310.126697453
"207","The minimum variance",2020-11-19,282233.964709206
"208","The minimum variance",2020-11-20,280209.554734441
"209","The minimum variance",2020-11-23,278418.627817303
"210","The minimum variance",2020-11-24,279663.818801415
"211","The minimum variance",2020-11-25,280383.999769177
"212","The minimum variance",2020-11-27,282723.44087206
"213","The minimum variance",2020-11-30,285524.523657086
"214","The minimum variance",2020-12-01,291131.573980837
