"","symbol","company","date","open","high","low","close","volume","adjusted"
"1","AAPL","Apple Inc.",2020-07-01,91.279999,91.839996,90.977501,91.027496,110737200,90.707176
"2","AAPL","Apple Inc.",2020-07-02,91.962502,92.6175,90.910004,91.027496,114041600,90.707176
"3","AAPL","Apple Inc.",2020-07-06,92.5,93.945,92.467499,93.462502,118655600,93.133614
"4","AAPL","Apple Inc.",2020-07-07,93.852501,94.654999,93.057503,93.172501,112424400,92.844635
"5","AAPL","Apple Inc.",2020-07-08,94.18,95.375,94.089996,95.342499,117092000,95.006996
"6","AAPL","Apple Inc.",2020-07-09,96.262497,96.317497,94.672501,95.752502,125642800,95.415558
"7","AAPL","Apple Inc.",2020-07-10,95.334999,95.980003,94.705002,95.919998,90257200,95.582466
"8","AAPL","Apple Inc.",2020-07-13,97.264999,99.955002,95.2575,95.477501,191649200,95.141525
"9","AAPL","Apple Inc.",2020-07-14,94.839996,97.254997,93.877502,97.057503,170989200,96.715965
"10","AAPL","Apple Inc.",2020-07-15,98.989998,99.247498,96.489998,97.724998,153198000,97.381111
"11","AAPL","Apple Inc.",2020-07-16,96.5625,97.404999,95.904999,96.522499,110577600,96.182846
"12","AAPL","Apple Inc.",2020-07-17,96.987503,97.147499,95.839996,96.327499,92186800,95.988533
"13","AAPL","Apple Inc.",2020-07-20,96.417503,98.5,96.0625,98.357498,90318000,98.011391
"14","AAPL","Apple Inc.",2020-07-21,99.172501,99.25,96.7425,97,103646000,96.658661
"15","AAPL","Apple Inc.",2020-07-22,96.692497,97.974998,96.602501,97.272499,89001600,96.930199
"16","AAPL","Apple Inc.",2020-07-23,96.997498,97.077499,92.010002,92.845001,197004400,92.518288
"17","AAPL","Apple Inc.",2020-07-24,90.987503,92.970001,89.144997,92.614998,185438800,92.289093
"18","AAPL","Apple Inc.",2020-07-27,93.709999,94.904999,93.480003,94.809998,121214000,94.476364
"19","AAPL","Apple Inc.",2020-07-28,94.3675,94.550003,93.247498,93.252502,103625600,92.924355
"20","AAPL","Apple Inc.",2020-07-29,93.75,95.230003,93.712502,95.040001,90329200,94.705559
"21","AAPL","Apple Inc.",2020-07-30,94.1875,96.297501,93.767502,96.190002,158130000,95.851517
"22","AAPL","Apple Inc.",2020-07-31,102.885002,106.415001,100.824997,106.260002,374336800,105.886086
"23","AAPL","Apple Inc.",2020-08-03,108.199997,111.637497,107.892502,108.9375,308151200,108.554153
"24","AAPL","Apple Inc.",2020-08-04,109.1325,110.790001,108.387497,109.665001,173071600,109.279099
"25","AAPL","Apple Inc.",2020-08-05,109.377502,110.392502,108.897499,110.0625,121992000,109.675194
"26","AAPL","Apple Inc.",2020-08-06,110.404999,114.412498,109.797501,113.902496,202428800,113.501678
"27","AAPL","Apple Inc.",2020-08-07,113.205002,113.675003,110.292503,111.112503,198045600,110.921135
"28","AAPL","Apple Inc.",2020-08-10,112.599998,113.775002,110,112.727501,212403600,112.533356
"29","AAPL","Apple Inc.",2020-08-11,111.970001,112.482498,109.107498,109.375,187902400,109.186623
"30","AAPL","Apple Inc.",2020-08-12,110.497498,113.275002,110.297501,113.010002,165944800,112.815369
"31","AAPL","Apple Inc.",2020-08-13,114.43,116.042503,113.927498,115.010002,210082000,114.81192
