"","AAPL","GILD","TSLA","ZG","Return","Risk","SharpeRatio"
"1",0.610452614235338,0.103046691545939,0.253524916906559,0.0329757773121639,0.295001551449641,0.28100185819292,1.04982064299059
"2",0.0683403753230588,0.198186358748622,0.482323569463263,0.251149696465056,0.252497199519235,0.352788504380856,0.715718330908678
"3",0.501609962422731,0.0406355097162655,0.315584421086265,0.142170106774739,0.315560432466093,0.305007258426534,1.03459974721258
"4",0.221086783584263,0.104149336000737,0.258715079507393,0.416048800907607,0.252701276382486,0.334656230082249,0.755107043189898
"5",0.585367754154968,0.113982893017474,0.248174562348852,0.0524747904787059,0.287639488911423,0.278463608444075,1.03295181197507
"6",0.193287087447746,0.106310659567716,0.543668602444517,0.156733650540022,0.307653644781394,0.366126205596279,0.840293975352966
"7",0.320592911262549,0.228550391146099,0.331472666008189,0.119384031583163,0.240283724812827,0.287448448466878,0.83591936604422
"8",0.187004182600589,0.337567941096824,0.0853478414390503,0.390080034863537,0.147462574050474,0.286487337808206,0.514726323259687
"9",0.284964121951217,0.472720433226475,0.163469856708172,0.0788455881141367,0.133938409874507,0.240888070200449,0.556019273860484
"10",0.35558540141167,0.143187210346056,0.337554303473204,0.163673084769069,0.271441744046575,0.300371644717651,0.903686312673521
"11",0.441555809864133,0.216166053924441,0.269146500106329,0.0731316361050969,0.244604236876303,0.27127900440343,0.901670357476474
"12",0.224081106466013,0.246290871640188,0.242336990357457,0.287291031536341,0.207187277349547,0.289687152692152,0.715210444868167
"13",0.544696969290037,0.335926947379936,0.0383841072805026,0.0809919760495245,0.175190710110387,0.236483269631318,0.740816508430017
"14",0.135567537003666,0.40536547028784,0.24101304078229,0.218053951926204,0.152156103970821,0.270932962799491,0.561600561255541
"15",0.493610031627999,0.115495891485318,0.233063576216571,0.157830500670112,0.273857954495103,0.280400871425496,0.976665846660424
"16",0.278564996809256,0.300906094309192,0.202604162389466,0.217924746492086,0.189240471918218,0.266027911975673,0.711355701410472
"17",0.20409760980538,0.195456875166959,0.157702213088479,0.442743301939183,0.203601547823629,0.317459126957747,0.641347280750029
"18",0.359934240987119,0.281749846502615,0.170076132389114,0.188239780121152,0.196984532735767,0.257548218623644,0.764845254175964
"19",0.278671511276481,0.177092779036513,0.261393643514552,0.282842066172454,0.237332462129275,0.297711754661579,0.797188751915626
"20",0.202899208053462,0.157087128915168,0.144147494121242,0.495866168910128,0.212132456258387,0.334467385810026,0.634239585855691
"21",0.210963230817848,0.183031215675416,0.210856676956395,0.395148876550341,0.218353144050214,0.313542891273566,0.696405978663062
"22",0.13299313465502,0.26359869503991,0.555678317467183,0.0477298528378878,0.254354596881554,0.352804148552659,0.720951264107909
"23",0.261300359200278,0.220782815451671,0.349570887516492,0.168345937831559,0.239864768437269,0.297777040200472,0.805518008627481
"24",0.109937565221551,0.1935046684384,0.347974251135833,0.348583515204216,0.23153257237968,0.332147895261847,0.697076741061847
"25",0.285485516175397,0.00831682554284966,0.377625304659046,0.328572353622707,0.314393014209636,0.35122971986426,0.895120761224704
"26",0.470581888804776,0.00508967480851766,0.430117356278174,0.0942110801085316,0.348055803984006,0.335268758666725,1.03813968640601
"27",0.39410342726636,0.156600952216628,0.290266528158409,0.159029092358603,0.26189261298817,0.287260316550447,0.911690887669748
"28",0.221575241187488,0.272259459185379,0.362295389855668,0.143869909771465,0.222701146430774,0.295588513804652,0.753416103908396
"29",0.309549148682798,0.249274198515205,0.21382906706509,0.227347585736907,0.209723435327782,0.272724819700585,0.768992846188439
"30",0.308311199928258,0.102087862856524,0.340761954748029,0.248838982467189,0.279640452971813,0.316953759685576,0.882275235508238
"31",0.103403972378302,0.426591625975162,0.191310566230554,0.278693835415982,0.13390359548177,0.272508220127352,0.491374518607888
"32",0.118913438701941,0.31608900484716,0.434686628883852,0.130310927567047,0.213042165489312,0.315005509531328,0.676312505791663
"33",0.209054883961084,0.0482634586130805,0.394059436438818,0.348622220987018,0.29648949883027,0.355834851286148,0.833222203386269
"34",0.0188768432919205,0.602653310748009,0.281270118013562,0.0971997279465087,0.0940709239486939,0.27137354381931,0.346647365195369
"35",0.3588879665806,0.39526622205424,0.231217608263357,0.0146282031018034,0.175740607590624,0.252475968147919,0.69606865508745
"36",0.108069360617319,0.238189638753161,0.258803179791636,0.394937820837884,0.200637147327541,0.319792630973867,0.627397656776955
"37",0.117812774191831,0.269635323307981,0.369510281332133,0.243041621168055,0.213927241703938,0.312220981982393,0.685178940715782
"38",0.107481124667531,0.298823175494115,0.32708464331463,0.266611056523724,0.196046093583645,0.30361277815057,0.645710943978848
"39",0.423600164764015,0.0574546642596656,0.0251913742744736,0.493753796701845,0.241912281128146,0.333793786926785,0.724735721882107
"40",0.50611745483129,0.192272874903824,0.268579928450926,0.0330297418139606,0.258786777440414,0.273024446160208,0.947852036987781
"41",0.293926130259902,0.328443394407968,0.27216675950804,0.10546371582409,0.196186430341175,0.266057658484748,0.737383135138811
"42",0.0571487970561558,0.306279339137276,0.541053777101086,0.0955180867054825,0.230337170094737,0.349443189303476,0.65915484160345
"43",0.305080318665037,0.0558727913470195,0.214823821632945,0.424223068354998,0.26780134453022,0.333433016281327,0.803163848370278
"44",0.125419973477452,0.383403055198997,0.365750533808719,0.125426437514831,0.180801641025431,0.291467596245293,0.62031472230372
"45",0.263549596722572,0.210345491561053,0.36235707924136,0.163747832475015,0.245826086961978,0.301485490733737,0.815382811171781
"46",0.209966094948321,0.408686752236413,0.0148293476311366,0.36651780518413,0.117233185483398,0.273832596463885,0.428119906093282
"47",0.305684763919408,0.313511193823231,0.304486618076899,0.0763174241804618,0.208042443142317,0.272731902579452,0.762809341975349
